age,temp,race,capitalgain,capitalloss,hoursperweek,income,sex_1
20,111697,4,0,1719,28,0,0
31,114937,4,0,0,40,1,1
35,129305,4,0,0,40,0,1
39,365739,4,0,0,40,0,1
28,69621,4,0,0,60,0,0
24,43323,4,0,1762,40,0,0
38,120985,4,4386,0,35,0,1
37,254202,4,0,0,50,0,1
46,146195,2,0,0,36,0,0
38,125933,4,0,0,40,1,1
43,56920,4,0,0,60,0,1
27,163127,4,0,0,35,0,0
20,34310,4,0,0,20,0,1
49,81973,1,0,0,40,1,1
61,66614,4,0,0,40,0,1
27,232782,4,0,0,40,0,0
19,316868,4,0,0,30,0,1
45,196584,4,0,1564,40,1,0
70,105376,4,0,0,40,0,1
31,185814,2,0,0,30,0,0
22,175374,4,0,0,24,0,1
36,108293,4,0,0,24,0,0
64,181232,4,0,2179,40,0,1
43,174662,4,0,0,40,0,0
47,186009,4,0,0,38,0,0
34,198183,4,0,0,40,0,0
33,163003,1,0,0,40,0,0
21,296158,4,0,0,35,0,1
52,252903,4,0,0,45,1,1
48,187715,4,0,0,46,0,1
23,214542,4,0,0,40,0,1
71,494223,2,0,1816,2,0,1
29,191535,4,0,0,60,0,1
42,228456,2,0,0,50,0,1
68,38317,4,0,0,20,0,0
25,252752,4,0,0,40,0,0
44,78374,1,0,0,40,0,0
28,88419,1,0,0,40,0,0
45,201080,4,0,0,40,1,1
36,207157,4,0,0,40,0,0
39,235485,4,0,0,42,0,1
46,102628,4,0,0,40,0,1
18,25828,4,0,0,16,0,1
66,54826,4,0,0,20,0,0
27,124953,4,0,1980,40,0,1
28,175325,4,0,0,40,0,1
51,96062,4,0,1977,40,1,1
27,428030,4,0,0,50,0,1
28,149624,4,0,0,40,1,1
27,253814,4,0,0,25,0,0
21,312956,2,0,0,40,0,1
34,483777,2,0,0,40,0,1
18,183930,4,0,0,12,0,1
33,37274,4,0,0,65,0,1
44,181344,2,0,0,38,1,1
43,114580,4,0,0,40,0,0
30,633742,2,0,0,45,0,1
40,286370,4,0,0,40,1,1
37,29054,4,0,0,42,1,1
34,304030,2,0,0,40,0,1
41,143129,4,0,0,40,0,0
53,135105,4,0,0,50,0,0
31,99928,4,0,0,50,0,0
58,109567,4,0,0,1,1,1
38,155222,2,0,0,28,0,0
24,159567,4,0,0,40,0,1
41,523910,2,0,0,40,0,1
47,120939,4,0,0,45,0,1
41,130760,4,0,0,24,0,1
23,197387,4,0,0,40,0,1
36,99374,4,0,0,40,0,1
40,56795,4,14084,0,55,1,0
35,138992,4,7298,0,40,1,1
24,32921,4,0,0,40,0,1
26,397317,4,0,1876,40,0,0
19,170653,4,0,0,40,0,1
51,259323,4,0,0,50,1,1
42,254817,4,0,1340,40,0,0
37,48211,4,0,0,35,0,0
18,140164,4,0,0,40,0,0
36,128757,2,7298,0,36,1,1
35,36270,4,0,0,60,0,1
58,210563,4,15024,0,35,1,0
17,65368,4,0,0,12,0,0
44,160943,2,0,0,40,0,1
37,208358,4,0,0,40,1,1
35,153790,0,0,0,40,0,0
60,85815,1,0,0,40,0,1
54,125417,4,0,0,40,1,1
37,635913,2,0,0,60,1,1
50,313321,4,0,0,40,0,0
38,182609,4,0,0,50,0,1
45,109434,4,0,0,55,0,1
25,255004,4,0,0,40,0,1
31,197860,4,0,0,40,0,1
64,187656,4,0,0,40,0,1
90,51744,2,0,2206,40,0,1
54,176681,2,0,0,20,0,1
53,140359,4,0,0,35,0,0
18,243313,4,0,0,40,0,0
60,24215,0,0,0,10,0,0
66,167687,4,1409,0,50,0,1
75,314209,4,0,0,20,0,0
65,176796,4,0,0,40,0,0
35,538583,2,3674,0,40,0,1
41,130408,2,0,0,38,0,0
25,159732,4,0,0,42,0,1
33,110978,3,0,0,40,0,0
28,76714,4,0,0,55,1,1
59,268700,4,0,0,40,0,1
40,170525,4,0,0,38,0,0
41,180138,4,0,0,50,1,1
38,115076,4,0,0,70,1,1
23,115458,4,0,0,40,0,1
40,347890,4,0,0,40,1,1
41,196001,4,0,0,20,0,0
24,273905,4,0,0,50,0,1
20,119156,4,0,0,20,0,1
38,179488,4,0,1741,40,0,1
56,203580,4,0,0,35,0,1
58,236596,4,0,0,45,1,1
32,183916,4,0,0,34,0,0
40,207578,4,0,1977,60,1,1
45,153141,4,0,0,40,0,1
41,112763,4,0,0,40,1,0
42,390781,2,0,0,40,0,0
59,171328,2,0,0,30,0,0
19,27382,4,0,0,40,0,1
58,259014,4,0,0,20,0,1
42,303044,1,0,0,40,1,1
20,117789,4,0,0,40,0,0
32,172579,4,0,0,30,0,0
45,187666,4,0,0,45,0,0
50,204518,4,0,0,40,0,1
36,150042,4,0,0,40,0,0
45,98092,4,0,0,60,0,1
17,245918,4,0,0,12,0,1
59,146013,4,4064,0,40,0,1
26,378322,4,0,0,40,0,1
37,257295,1,0,0,75,1,1
19,218956,4,0,0,24,0,1
64,21174,4,0,0,40,1,1
33,185480,4,0,0,45,0,0
33,222205,4,0,0,40,1,0
61,69867,4,0,0,40,1,1
17,191260,4,1055,0,24,0,1
50,30653,4,2407,0,98,0,1
27,209109,4,0,0,35,0,1
30,70377,4,0,0,40,0,0
43,477983,2,0,0,40,0,1
44,170924,4,7298,0,40,1,1
35,190174,4,0,0,40,0,0
25,193787,4,0,0,40,0,0
24,279472,4,7298,0,48,1,0
22,34918,4,0,0,15,0,0
42,97688,4,5178,0,40,1,1
34,175413,2,0,0,45,0,0
60,173960,4,0,0,42,0,0
21,205759,4,0,0,40,0,1
57,425161,4,15024,0,40,1,1
41,220531,4,0,0,60,1,1
50,176609,4,0,0,45,0,1
25,371987,4,0,0,40,0,0
50,193884,4,0,0,40,0,1
36,200352,4,0,0,45,0,1
31,127595,4,0,0,40,0,0
29,220419,4,0,0,56,0,1
21,231931,4,0,0,45,0,1
27,248402,2,0,0,40,0,0
65,111095,4,0,0,16,0,1
37,57424,4,0,0,60,0,0
39,157443,1,3464,0,40,0,0
24,278130,4,0,0,40,0,1
38,169469,4,0,0,80,0,1
48,146268,4,7688,0,40,1,1
21,153718,1,0,0,25,0,0
31,217460,4,0,0,45,1,1
55,238638,4,4386,0,40,1,1
24,303296,1,0,0,40,0,0
43,173321,4,0,0,40,0,0
26,193945,4,0,0,45,0,1
46,83082,4,0,0,33,0,0
35,193815,4,0,0,40,1,1
41,34987,4,0,0,54,1,1
26,59306,4,0,0,40,0,1
34,142897,1,7298,0,35,1,1
19,860348,2,0,0,25,0,0
36,205607,2,0,0,40,1,0
22,199698,4,0,0,15,0,1
24,191954,4,0,0,40,0,1
77,138714,4,0,0,40,0,1
22,399087,4,0,0,40,0,0
29,423158,4,0,0,40,0,0
62,159841,4,0,0,24,0,0
39,174308,4,0,0,40,0,1
43,50356,4,0,1485,50,0,1
35,186110,4,0,0,45,0,1
29,200381,4,0,0,40,0,0
76,174309,4,0,0,10,0,1
63,78383,4,0,0,45,0,1
23,211601,2,0,0,15,0,0
43,187728,4,0,1887,50,1,0
58,321171,4,0,0,40,0,1
66,127921,4,2050,0,55,0,1
41,206565,2,0,0,45,0,1
26,224563,4,0,0,40,0,1
47,178686,4,0,0,40,0,1
55,98545,4,0,0,40,0,1
53,242606,4,0,0,40,0,1
17,270942,4,0,0,48,0,1
30,94235,4,0,0,40,0,1
49,71195,4,0,0,60,0,1
19,104112,2,0,0,30,0,1
45,261192,2,0,0,40,0,1
26,94936,4,0,0,40,0,1
38,296478,4,7298,0,40,1,1
36,119272,4,7298,0,40,1,1
33,85043,4,0,0,20,0,1
22,293364,2,0,0,40,0,0
43,241895,4,0,0,42,0,1
67,36135,4,0,0,8,0,1
30,151989,4,0,0,40,0,0
56,101128,4,0,0,25,0,1
31,156464,4,0,0,25,0,1
33,117963,4,0,0,40,1,1
26,192262,4,0,0,40,0,1
33,111363,4,0,0,40,1,1
46,329752,4,0,0,30,0,1
59,372020,4,0,0,40,1,1
38,95432,4,0,0,40,1,1
65,161400,3,0,0,40,0,1
40,96129,4,0,0,40,1,1
42,111949,4,0,0,35,0,0
26,117125,4,0,0,40,0,1
36,348022,4,0,0,24,0,0
62,270092,4,0,0,40,1,1
43,180609,4,0,0,45,0,1
43,174575,4,0,1564,45,1,1
22,410439,4,0,0,55,0,1
28,92262,4,0,0,40,0,1
56,183081,4,0,0,45,0,1
22,362589,4,0,0,15,0,0
57,212448,4,0,0,45,1,0
39,481060,4,0,0,40,0,0
26,185885,4,0,0,15,0,0
17,89821,4,0,0,10,0,1
40,184018,4,0,0,38,1,1
45,256649,2,0,0,40,0,1
44,160323,2,0,0,40,0,1
20,350845,4,0,0,10,0,0
33,267404,4,0,0,40,0,0
23,35633,4,0,0,40,0,1
46,80914,4,0,0,30,0,1
38,172927,4,0,0,50,0,1
54,174319,4,0,0,40,0,1
46,214955,4,0,2339,45,0,0
25,344991,4,0,0,40,0,1
46,108699,4,0,0,40,0,0
36,117312,4,0,0,40,0,0
23,396099,4,0,0,25,0,0
29,134152,4,0,0,40,0,1
44,162028,4,0,2415,6,1,0
19,25429,4,0,0,16,0,0
19,232392,4,0,0,40,0,0
35,220098,4,0,0,40,1,0
27,301302,4,0,0,50,0,1
46,277946,4,0,0,40,0,1
34,98101,4,7688,0,45,1,1
34,196164,4,0,0,35,0,0
44,115562,4,0,0,40,0,1
45,96975,4,0,0,40,0,0
20,137300,4,0,0,35,0,0
25,86872,4,0,0,55,1,1
52,132178,4,0,0,50,1,1
20,416103,4,0,0,40,0,1
28,108574,4,0,0,40,0,0
50,288353,4,0,0,40,1,1
34,227689,4,0,0,64,0,0
28,166481,3,0,2179,40,0,1
41,445382,4,0,1977,65,1,1
28,110145,4,0,0,40,0,1
46,317253,4,0,0,25,0,1
28,123147,4,0,1887,40,1,0
32,364657,4,0,0,50,0,1
41,42346,2,0,0,24,0,0
24,241951,2,0,0,40,0,0
33,118500,4,0,0,40,0,0
46,188386,4,15024,0,60,1,1
31,1033222,4,0,0,40,0,1
35,92440,4,0,0,50,1,1
52,190762,4,0,0,40,0,1
30,426017,4,0,0,19,0,0
34,243867,2,0,0,40,0,1
34,240283,4,0,0,40,0,0
20,61777,4,0,0,30,0,1
17,175024,4,2176,0,18,0,1
32,92003,4,0,0,40,1,0
29,188401,4,0,0,40,0,1
33,228528,4,0,0,35,0,0
25,133373,4,0,0,60,0,1
36,255191,4,0,1408,40,0,1
23,204653,4,0,0,72,0,1
63,222289,4,0,0,40,1,1
47,287480,4,0,0,40,0,1
80,107762,4,0,0,24,0,1
17,202521,4,0,0,40,0,1
40,204116,4,2174,0,40,0,0
30,29662,4,0,0,25,1,0
27,116358,1,0,1980,40,0,1
33,208405,4,0,0,50,1,1
34,284843,2,594,0,60,0,1
34,117018,4,0,0,40,0,0
23,81281,4,0,0,40,0,1
42,340148,4,0,0,40,0,0
29,363425,4,0,0,40,0,1
45,45857,4,0,0,28,0,0
24,191073,4,0,0,40,0,1
44,116632,4,0,0,40,1,1
27,405855,4,0,0,40,0,1
20,298227,4,0,0,35,0,1
44,290521,2,0,0,40,0,0
51,56915,0,0,0,40,0,1
20,146538,4,0,0,40,0,1
17,258872,4,0,0,5,0,0
19,206399,2,0,0,40,0,0
45,197332,4,0,0,55,1,1
60,245062,4,0,0,40,1,1
42,197583,2,0,0,40,1,1
44,234885,4,0,0,40,1,0
40,72887,1,0,0,40,1,1
30,180374,4,0,0,40,0,0
38,351299,2,0,0,50,0,1
23,54012,4,0,0,60,0,1
32,115745,4,0,0,40,0,1
44,116632,4,0,0,40,0,1
54,288825,2,0,0,40,0,1
32,132601,4,0,0,50,0,1
50,193374,4,0,0,40,0,1
24,170070,4,0,0,20,0,0
37,126708,4,0,0,60,0,0
52,35598,4,0,0,40,0,1
38,33983,4,0,0,40,0,1
49,192776,4,0,1977,45,1,1
30,118551,4,0,0,16,1,0
60,201965,4,0,0,40,1,1
22,139883,4,0,0,40,0,1
35,285020,4,0,0,40,0,1
30,303990,4,0,0,60,0,1
67,49401,4,0,0,24,0,0
46,279196,4,0,0,40,0,0
17,211870,4,0,0,6,0,1
22,281432,4,0,0,30,0,1
27,161155,4,0,0,40,0,1
23,197904,4,0,0,35,0,0
33,111746,4,0,0,45,0,1
43,170721,4,0,0,20,0,1
28,70100,4,0,0,20,0,1
41,193626,4,0,0,40,0,0
52,271749,2,594,0,40,0,1
25,189775,2,0,0,20,0,0
63,401531,4,0,0,35,0,1
59,286967,4,0,0,45,0,1
45,164427,4,0,0,40,0,0
38,91039,4,15024,0,60,1,1
40,347934,4,0,0,35,0,0
46,371373,4,0,0,40,0,1
35,32220,4,0,0,60,0,0
34,187251,4,0,0,25,0,0
33,178107,4,0,0,20,0,1
41,343121,4,0,0,36,0,0
20,262749,4,0,0,40,0,1
23,403107,4,0,0,40,0,1
26,64293,4,0,0,35,0,0
72,303588,4,0,0,20,0,1
23,324960,4,0,0,40,0,1
62,114060,4,0,0,40,0,1
52,48925,4,0,0,40,0,1
58,180980,4,0,0,42,0,0
25,181054,4,0,0,40,0,0
24,388093,2,0,0,40,0,1
19,249609,4,0,0,8,0,1
43,112131,4,0,0,40,0,1
47,543162,2,0,0,40,0,0
39,91996,4,0,0,40,0,0
49,141944,4,0,1380,42,0,1
53,251804,2,0,0,30,0,0
32,37070,4,0,0,45,0,1
34,337587,4,0,0,50,1,1
28,189346,4,0,0,45,0,1
57,222216,4,0,0,38,0,0
25,267044,0,0,0,20,0,0
20,214635,4,0,0,24,0,1
21,204226,4,0,0,35,0,0
34,108116,4,0,0,50,1,1
38,99146,4,15024,0,80,1,1
50,196232,4,7688,0,50,1,1
24,248344,2,0,0,50,0,1
37,186035,4,0,0,45,1,1
44,177905,4,0,0,58,1,1
28,85812,4,0,0,40,0,0
42,221172,4,0,0,40,1,1
74,99183,4,0,0,9,0,0
38,190387,4,0,0,50,0,1
44,202692,4,0,0,40,0,1
44,109339,3,0,0,46,0,0
26,108658,4,0,0,40,0,1
36,197202,2,0,0,40,0,1
41,101739,4,0,0,50,1,0
67,231559,4,20051,0,48,1,1
39,207853,4,0,0,50,0,1
57,190942,2,0,0,30,0,0
29,102345,4,0,0,40,0,1
31,41493,4,0,0,45,0,0
34,190027,2,0,0,40,0,0
44,210525,4,0,0,40,0,1
29,133937,4,0,0,40,0,1
30,237903,4,0,0,40,0,0
27,163862,4,0,0,40,0,1
27,201872,4,0,0,50,0,1
32,84179,4,0,0,45,0,0
58,51662,4,0,0,8,0,0
35,233327,4,0,0,40,0,1
21,259510,4,0,0,36,0,1
28,184831,4,0,0,40,0,1
46,245724,4,0,0,50,0,1
36,27053,4,0,0,40,0,0
72,205343,4,0,0,40,0,0
35,229328,2,0,0,40,0,0
33,319560,2,0,0,40,1,0
69,136218,4,0,0,40,0,0
35,54576,4,0,0,40,0,1
31,323069,4,0,0,20,0,0
34,148291,4,0,0,32,0,0
30,152453,4,0,0,40,0,1
28,114053,4,0,0,55,0,1
54,212960,4,0,0,35,1,1
47,264052,4,0,0,50,1,1
24,82804,2,0,0,40,0,0
52,334273,4,0,0,60,1,1
20,27337,0,0,0,48,0,1
43,188436,4,5013,0,45,0,1
45,433665,4,0,0,40,0,0
29,110663,4,0,0,35,0,1
47,87490,4,0,0,42,0,1
24,354351,4,0,0,40,0,1
51,95469,4,0,0,40,0,1
17,242718,4,0,0,12,0,1
37,22463,4,0,1977,40,1,1
27,158156,4,0,0,70,0,0
29,350162,4,0,0,40,1,1
18,165532,4,0,0,25,0,1
36,28738,4,0,0,35,0,0
58,283635,4,0,0,40,0,0
26,86646,4,0,0,45,0,1
65,195733,4,0,0,30,1,1
57,69884,4,0,0,40,1,1
59,199713,4,0,0,40,0,1
27,181659,4,0,0,40,0,1
31,340939,4,0,0,40,0,1
21,197747,4,0,0,24,0,0
29,34292,4,0,0,60,0,1
18,156764,4,0,0,40,0,1
52,25826,4,0,1887,47,1,1
57,103948,4,0,0,80,0,1
42,137390,4,0,0,40,0,1
55,105138,1,0,0,40,0,0
60,39352,4,0,0,48,1,1
31,168387,4,7688,0,40,1,1
23,117789,4,0,0,40,0,0
27,267147,4,0,0,40,0,1
23,99399,0,0,0,25,0,0
42,214242,4,0,1902,50,1,1
25,200408,4,2174,0,40,0,1
49,136455,4,0,0,45,0,0
32,239824,4,0,0,40,0,1
19,217039,4,0,0,28,0,1
60,51290,4,0,0,40,0,0
42,175674,4,0,0,40,0,1
35,194404,4,0,0,40,0,1
48,45612,2,0,0,37,0,0
51,410114,4,0,0,40,1,1
29,182521,0,0,0,40,0,1
36,339772,2,0,0,40,0,1
17,169658,4,0,0,21,0,0
52,200853,4,6849,0,60,0,0
24,247564,4,0,0,40,0,1
24,249909,4,0,0,50,0,1
26,208122,4,1055,0,40,0,1
27,109881,4,0,0,20,0,0
39,207824,4,0,0,60,0,1
30,369027,2,0,0,45,0,1
50,114117,4,0,0,32,0,1
52,51048,4,0,0,55,0,1
46,102388,4,15024,0,45,1,1
23,190483,4,0,0,20,0,0
45,462440,2,0,0,20,0,0
65,109351,2,0,0,24,0,0
29,34383,4,0,0,55,0,1
47,241832,4,0,0,40,0,1
30,124187,2,0,0,60,0,1
34,153614,4,0,0,45,1,1
38,267556,4,0,0,64,0,1
33,205469,4,0,0,40,1,1
49,268090,4,0,0,26,1,1
47,165039,2,0,0,40,0,0
49,120451,2,0,0,40,0,0
43,154374,4,15024,0,60,1,1
30,103649,2,0,0,40,1,0
58,35723,4,0,0,60,0,1
19,262601,4,0,0,14,0,0
21,226181,4,0,0,40,0,1
33,175697,4,15024,0,60,1,1
47,248145,4,0,0,50,0,1
52,289436,4,0,0,60,1,1
26,75654,4,0,0,55,0,1
60,199378,4,0,0,40,0,1
21,160968,4,0,0,40,0,1
36,188563,4,5178,0,50,1,1
31,55849,4,0,0,45,0,1
50,195322,4,0,0,40,1,1
31,402089,4,0,0,40,0,0
71,78277,4,0,0,15,0,1
58,158611,4,0,0,50,0,1
30,169496,4,0,0,40,1,1
20,130959,4,0,0,20,0,1
24,556660,4,4101,0,50,0,1
35,292472,1,0,0,40,1,1
38,143774,4,0,0,45,0,0
27,288341,4,0,0,32,0,0
29,71592,1,0,0,40,0,0
70,167358,4,1111,0,15,0,0
34,106742,4,0,0,45,0,1
44,219288,4,0,0,35,0,1
43,174524,4,0,0,40,1,1
44,335183,2,0,0,40,1,1
35,261293,4,0,0,60,0,1
27,111900,4,0,0,40,0,1
43,194360,4,0,0,38,0,1
20,81145,4,0,0,25,0,0
42,341204,4,8614,0,40,1,0
27,249362,4,3411,0,40,0,1
42,247019,2,0,0,40,1,1
20,114746,1,0,1762,40,0,0
24,172146,4,0,1721,40,0,1
48,110457,4,0,0,40,0,1
17,80077,4,0,0,20,0,0
17,368700,4,0,0,10,0,1
33,182556,4,0,0,40,1,1
50,219420,4,0,0,50,1,1
22,240817,4,2597,0,40,0,0
17,102726,4,0,0,16,0,1
32,226267,4,0,0,40,0,1
31,125457,4,0,0,45,0,1
58,204021,4,0,0,50,0,1
29,92262,4,0,0,48,0,1
37,161141,4,0,0,40,1,1
34,190290,4,0,0,40,1,1
23,430828,2,0,0,40,0,1
18,59342,4,0,0,5,0,0
34,136721,4,0,0,40,0,0
66,149422,4,0,0,4,0,1
45,86644,4,0,0,55,0,0
41,195124,4,0,0,35,0,1
26,167350,4,0,0,30,0,1
54,113000,4,0,0,40,0,1
24,140027,2,0,0,45,0,0
42,262425,4,0,0,50,0,1
20,316702,4,0,0,20,0,1
23,335453,4,0,0,20,0,0
25,202480,4,0,0,45,0,1
35,203628,4,0,0,60,1,1
31,118710,4,0,1902,40,1,1
30,189620,4,0,0,40,0,0
19,475028,4,0,0,20,0,0
36,110866,4,0,0,50,0,1
31,243605,4,0,1380,40,0,0
21,163870,4,0,0,30,0,1
31,80145,4,0,0,40,0,1
46,295566,4,25236,0,65,1,0
44,63042,4,0,0,50,1,0
40,229148,2,0,0,40,0,1
45,242552,2,0,0,40,0,1
60,177665,4,0,0,35,0,1
18,208103,4,0,0,25,0,1
28,296450,4,0,0,40,0,1
36,70282,2,0,0,40,0,0
36,271767,4,0,0,40,0,1
40,144995,4,4386,0,40,0,1
36,382635,4,0,0,35,0,0
31,295697,2,0,0,40,0,0
33,194141,4,0,0,40,0,1
19,378418,4,0,0,40,0,0
22,214399,4,0,0,15,0,0
34,217460,4,0,0,45,1,1
33,182556,4,0,0,40,0,1
41,125831,4,0,2051,60,0,1
29,271328,4,4650,0,40,0,1
50,50459,4,0,0,42,1,1
42,162140,4,7298,0,45,1,1
43,177937,4,0,0,40,1,1
44,111502,4,0,0,40,0,0
20,299047,4,0,0,20,0,0
31,223212,4,0,0,40,0,1
65,118474,4,9386,0,59,1,1
23,352139,4,0,0,24,0,0
55,173093,1,0,0,40,0,0
26,181655,4,0,2377,45,0,1
25,332702,4,0,0,15,0,0
45,51164,2,0,0,40,0,0
35,234901,4,2407,0,40,0,1
36,131414,2,0,0,36,0,0
43,260960,4,0,0,50,0,1
56,156052,2,594,0,20,0,0
42,279914,4,0,0,40,1,1
19,192453,4,0,0,25,0,0
55,200939,4,0,0,72,0,1
42,151408,4,14084,0,50,1,0
26,112847,4,0,0,40,0,1
17,316929,4,0,0,20,0,1
42,126319,4,0,0,40,1,0
55,197422,4,7688,0,40,1,1
32,267736,2,0,0,40,0,0
29,267034,2,0,0,40,0,1
46,193047,4,0,0,37,0,1
29,356089,4,7688,0,40,1,1
22,223515,4,0,0,20,0,1
58,87510,4,0,0,40,0,1
23,145111,4,0,0,50,0,1
39,48093,4,0,0,40,0,1
27,31757,4,0,0,38,0,1
54,285854,4,0,0,40,1,1
33,120064,4,0,0,45,0,0
46,167381,4,0,0,40,1,0
37,103408,2,0,0,40,0,1
36,101460,4,0,0,18,0,0
59,420537,4,0,0,38,1,0
34,119411,4,0,0,40,0,1
53,128272,4,0,0,70,1,1
51,386773,4,0,0,55,1,1
32,283268,4,0,0,42,0,0
31,301526,4,0,0,40,0,1
22,151790,4,0,0,30,0,0
47,106252,4,0,0,50,0,0
32,188557,4,0,0,40,0,1
26,171114,4,0,0,38,0,0
37,327323,4,0,0,32,0,1
31,244147,4,0,0,55,0,1
37,280282,4,0,0,24,1,0
55,116442,4,0,0,38,0,1
23,282579,4,0,0,56,0,1
36,51838,4,0,0,40,0,0
34,73585,4,0,0,40,0,1
43,226902,4,0,0,50,1,1
54,279129,4,0,0,40,0,1
43,146908,4,0,0,40,0,1
28,196690,4,0,1669,42,0,0
40,130760,4,0,0,50,1,1
41,49572,4,0,0,60,0,1
40,237601,3,0,0,55,1,0
42,169628,2,0,0,38,0,0
61,36671,4,0,2352,50,0,1
18,231193,4,0,0,30,0,1
59,192130,4,0,0,16,0,1
21,149704,4,1055,0,40,0,0
48,102102,4,0,0,50,1,1
41,32185,4,0,0,40,0,1
18,196061,4,0,0,33,0,1
23,211046,4,2463,0,40,0,0
60,31577,4,0,0,60,1,1
22,162343,2,0,0,20,0,1
61,128831,4,0,0,40,0,1
25,316688,2,0,0,40,0,1
46,90758,4,0,0,35,1,1
43,274363,4,0,1902,40,1,1
43,154538,4,0,0,40,0,1
24,106085,2,0,1721,30,0,1
68,315859,4,0,0,20,0,1
31,51471,4,0,0,38,0,0
17,193830,4,0,0,20,0,0
32,231043,4,5178,0,48,1,1
50,23780,4,0,0,40,0,1
33,169879,4,3103,0,47,1,1
64,270333,4,0,0,40,1,1
20,138768,4,0,0,30,0,1
30,191571,4,0,0,36,0,0
22,219941,2,0,0,40,0,1
43,94113,4,0,0,45,0,1
